iata,long,lat,airport
SCL,-70.7858,-33.393,Comodoro Arturo Merino Benitez International Airport
DLA,9.71948,4.00608,Douala International Airport
NSI,11.5533,3.72256,Yaounde Nsimalen International Airport
KMG,102.929,25.1019,Kunming Changshui International Airport
KOW,114.779,25.8533,Ganzhou Huangjin Airport
ERL,112.097,43.4225,Erenhot Saiwusu International Airport
KWE,106.801,26.5385,Guiyang Longdongbao International Airport
KWL,110.039,25.2181,Guilin Liangjiang International Airport
NZH,117.33,49.5667,Manzhouli Xijiao Airport
NTG,120.976,32.0708,Nantong Xingdong Airport
FUG,115.734,32.8822,Fuyang Xiguan Airport
NNG,108.172,22.6083,Nanning Wuxu International Airport
BAV,109.997,40.56,Baotou Airport
NKG,118.862,31.742,Nanjing Lukou International Airport
LHW,103.62,36.5152,Lanzhou Zhongchuan International Airport
ACX,104.959,25.0864,Xingyi Wanfenglin Airport
NGB,121.462,29.8267,Ningbo Lishe International Airport
LJG,100.246,26.68,Lijiang Sanyi Airport
NDG,123.918,47.2396,Qiqihar Sanjiazi Airport
TGO,122.2,43.5567,Tongliao Airport
NBS,127.602,42.0669,Changbaishan Airport
NAO,106.163,30.7955,Nanchong Gaoping Airport
ZYI,107.001,27.5895,Zunyi Xinzhou Airport
ZUH,113.376,22.0064,Zhuhai Jinwan Airport (Zhuhai Sanzao Airport)
BHY,109.294,21.5394,Beihai Fucheng Airport
ZHY,105.154,37.5731,Zhongwei Shapotou Airport (Zhongwei Xiangshan Airport)
ZHA,110.358,21.2144,Zhanjiang Airport
YTY,119.717,32.5602,Yangzhou Taizhou Airport
CAN,113.299,23.3924,Guangzhou Baiyun International Airport
YNZ,120.203,33.4258,Yancheng Nanyang International Airport
CGD,111.64,28.9189,Changde Taohuayuan Airport
YNT,120.987,37.6572,Yantai Penglai International Airport
CGO,113.841,34.5197,Zhengzhou Xinzheng International Airport
CGQ,125.685,43.9962,Changchun Longjia International Airport
YNJ,129.451,42.8828,Yanji Chaoyangchuan Airport
CHG,120.435,41.5381,Chaoyang Airport
LUM,98.5317,24.4011,Dehong Mangshi Airport
CIF,118.908,42.235,Chifeng Yulong Airport
CIH,113.126,36.2475,Changzhi Wangcun Airport
CKG,106.642,29.7192,Chongqing Jiangbei International Airport
YIW,120.032,29.3447,Yiwu Airport
YIH,111.48,30.5565,Yichang Sanxia Airport
YIC,114.306,27.8025,Yichun Mingyueshan Airport
CSX,113.22,28.1892,Changsha Huanghua International Airport
CTU,103.947,30.5785,Chengdu Shuangliu International Airport
YCU,111.031,35.1164,Yuncheng Guangong Airport
YBP,104.545,28.8006,Yibin Caiba Airport
CZX,119.779,31.9197,Changzhou Benniu Airport
DAT,113.482,40.0603,Datong Yungang Airport
DAX,107.429,31.1302,Dazhou Heshi Airport
DDG,124.286,40.0247,Dandong Langtou Airport
XNN,102.043,36.5275,Xining Caojiabao Airport
XMN,118.128,24.544,Xiamen Gaoqi International Airport
XIY,108.752,34.4471,Xi'an Xianyang International Airport
XIL,115.964,43.9156,Xilinhot Airport
LXA,90.9119,29.2978,Lhasa Gonggar Airport
XFN,112.291,32.1506,Xiangyang Liuji Airport
DLC,121.539,38.9657,Dalian Zhoushuizi International Airport
LYA,112.388,34.7411,Luoyang Beijiao Airport
WXN,108.433,30.8017,Wanzhou Wuqiao Airport
LYG,118.874,34.5717,Lianyungang Baitabu Airport
LYI,118.412,35.0461,Linyi Shubuling Airport
WUX,120.429,31.4944,Sunan Shuofang International Airport
WUS,118.001,27.7019,Wuyishan Airport
WUH,114.208,30.7838,Wuhan Tianhe International Airport
WUA,106.799,39.7934,Wuhai Airport
DOY,118.788,37.5086,Dongying Shengli Airport
DQA,125.141,46.7464,Daqing Sartu Airport
WNZ,120.852,27.9122,Wenzhou Longwan International Airport
DSN,109.861,39.49,Ordos Ejin Horo Airport
LZH,109.391,24.2075,Liuzhou Bailian Airport
LZO,105.47,29.03,Luzhou Yunlong Airport
WEF,119.119,36.6467,Weifang Airport
DYG,110.443,29.1028,Zhangjiajie Hehua Airport
TEN,109.309,27.8833,Tongren Fenghuang Airport
TAO,120.374,36.2661,Qingdao Liuting International Airport
TYN,112.628,37.7469,Taiyuan Wusu International Airport
SZX,113.811,22.6393,Shenzhen Bao'an International Airport
SYX,109.412,18.3029,Sanya Phoenix International Airport
AOG,122.854,41.1053,Anshan Teng'ao Airport
TXN,118.256,29.7333,Huangshan Tunxi International Airport
SWA,116.503,23.552,Jieyang Chaoshan International Airport
TVS,118.003,39.7178,Tangshan Sannuhe Airport
UYN,109.591,38.3597,Yulin Yuyang Airport
URC,87.4742,43.9071,Urumqi Diwopu International Airport
GYS,105.702,32.3911,Guangyuan Panlong Airport
HAK,110.459,19.9349,Haikou Meilan International Airport
HDG,114.426,36.5258,Handan Airport
HET,111.824,40.8514,Hohhot Baita International Airport
AQG,117.05,30.5822,Anqing Tianzhushan Airport
HFE,117.298,31.78,Hefei Xinqiao International Airport
HGH,120.434,30.2295,Hangzhou Xiaoshan International Airport
SJW,114.697,38.2807,Shijiazhuang Zhengding International Airport
HIA,119.125,33.7908,Huai'an Lianshui Airport
HLD,119.825,49.205,Hulunbuir Hailar Airport
HLH,122.008,46.1953,Ulanhot Airport
SHE,123.483,41.6398,Shenyang Taoxian International Airport
TSN,117.346,39.1244,Tianjin Binhai International Airport
SHA,121.336,31.1979,Shanghai Hongqiao International Airport
HMI,93.6692,42.8414,Hami Airport (Kumul Airport)
HRB,126.25,45.6234,Harbin Taiping International Airport
HSN,122.362,29.9342,Zhoushan Putuoshan Airport
ENY,109.554,36.6369,Yan'an Ershilipu Airport
HYN,121.429,28.5622,Taizhou Luqiao Airport
MDG,129.569,44.5241,Mudanjiang Hailang Airport
RLK,107.743,40.926,Bayannur Tianjitai Airport
INC,106.393,38.3228,Yinchuan Hedong International Airport
PVG,121.805,31.1434,Shanghai Pudong International Airport
JDZ,117.176,29.3386,Jingdezhen Luojia Airport
JGS,114.737,26.8569,Jinggangshan Airport
MIG,104.741,31.4281,Mianyang Nanjiao Airport
JIQ,108.831,29.5133,Qianjiang Wulingshan Airport
JIU,115.801,29.4769,Jiujiang Lushan Airport
JJN,118.59,24.7964,Quanzhou Jinjiang International Airport
JMU,130.465,46.8434,Jiamusi Dongjiao Airport
JNG,116.347,35.2928,Jining Qufu Airport
JNZ,121.062,41.1014,Jinzhou Bay Airport
JXA,131.193,45.293,Jixi Xingkaihu Airport
JZH,103.682,32.8533,Jiuzhai Huanglong Airport
TNA,117.216,36.8572,Jinan Yaoqiang International Airport
FOC,119.663,25.9351,Fuzhou Changle International Airport
KHN,115.9,28.865,Nanchang Changbei International Airport
PEK,116.598,40.0725,Beijing Capital International Airport
BOG,-74.1469,4.70159,El Dorado International Airport
MDE,-75.4231,6.16454,Jose Maria Cordova International Airport
CTG,-75.513,10.4424,Rafael Nunez International Airport
CLO,-76.3816,3.54322,Alfonso Bonilla Aragon International Airport
SJO,-84.2088,9.99386,Juan Santamaria International Airport
LIR,-85.5444,10.5933,Daniel Oduber Quiros International Airport
VRA,-81.4353,23.0344,Juan Gualberto Gomez Airport
HAV,-82.4091,22.9892,Jose Marti International Airport
SCU,-75.8354,19.9698,Antonio Maceo International Airport
HOG,-76.3151,20.7856,Frank Pais Airport
VXE,-25.0553,16.8332,Cesaria Evora Airport
RAI,-23.4935,14.9245,Nelson Mandela International Airport
BVC,-22.8889,16.1365,Aristides Pereira International Airport (Rabil Airport)
SID,-22.9494,16.7414,Amilcar Cabral International Airport
CUR,-68.9598,12.1889,Curacao International Airport (Hato Int'l Airport)
PFO,32.4857,34.718,Paphos International Airport
LCA,33.6249,34.8751,Larnaca International Airport
ECN,33.4961,35.1547,Ercan International Airport
PED,15.7386,50.0134,Pardubice Airport
OSR,18.1111,49.6963,Leos Janacek Airport
PRG,14.26,50.1008,Vaclav Havel Airport Prague
BRQ,16.6944,49.1513,Brno-Turany Airport
HDF,14.1523,53.8787,Heringsdorf Airport
NRN,6.14217,51.6024,Weeze Airport (Niederrhein Airport)
DTM,7.61224,51.5183,Dortmund Airport
TXL,13.2877,52.5597,Berlin Tegel Airport
HHN,7.26389,49.9487,Frankfurt-Hahn Airport
CGN,7.14274,50.8659,Cologne Bonn Airport
ERF,10.9581,50.9798,Erfurt-Weimar Airport
NUE,11.0781,49.4987,Nuremberg Airport
FDH,9.51149,47.6713,Friedrichshafen Airport (Bodensee Airport)
STR,9.22196,48.6899,Stuttgart Airport
MUC,11.7861,48.3538,Munich Airport
LEJ,12.2364,51.4239,Leipzig/Halle Airport
SXF,13.5225,52.38,Berlin Schonefeld Airport
RLG,12.2783,53.9182,Rostock-Laage Airport
FRA,8.57056,50.0333,Frankfurt Airport
FKB,8.0805,48.7794,Karlsruhe/Baden-Baden Airport
PAD,8.61632,51.6141,Paderborn Lippstadt Airport
BRE,8.78667,53.0475,Bremen Airport
DRS,13.7672,51.1328,Dresden Airport
FMO,7.68483,52.1346,Munster Osnabruck International Airport
FMM,10.2395,47.9888,Memmingen Airport
GWT,8.34047,54.9132,Sylt Airport (Westerland Airport)
HAJ,9.68508,52.4611,Hannover Airport
HAM,9.98823,53.6304,Hamburg Airport
DUS,6.76678,51.2895,Dusseldorf Airport
JIB,43.1595,11.5473,Djibouti-Ambouli International Airport
AAL,9.84924,57.0928,Aalborg Airport
AAR,10.619,56.3,Aarhus Airport
CPH,12.656,55.6179,Copenhagen Airport
BLL,9.15178,55.7403,Billund Airport
SDQ,-69.6689,18.4297,Las Americas International Airport
PUJ,-68.3634,18.5674,Punta Cana International Airport
STI,-70.6047,19.4061,Cibao International Airport
POP,-70.57,19.7579,Gregorio Luperon International Airport
AZS,-69.742,19.267,Samana El Catey International Airport
HME,6.14044,31.673,Oued Irara-Krim Belkacem Airport
ORN,-0.621183,35.6239,Oran Es Senia Airport
AAE,7.80917,36.8222,Rabah Bitat Airport (Les Salines Airport)
ALG,3.21541,36.691,Houari Boumediene Airport
CZL,6.62039,36.276,Mohamed Boudiaf International Airport
UIO,-78.3575,-0.129167,Mariscal Sucre International Airport
GYE,-79.8836,-2.15742,Jose Joaquin de Olmedo International Airport
TLL,24.8328,59.4133,Tallinn Airport (Lennart Meri Tallinn Airport)
LXR,32.7066,25.671,Luxor International Airport
SSH,34.395,27.9773,Sharm el-Sheikh International Airport
HBE,29.6964,30.9177,Borg El Arab Airport
CAI,31.4056,30.1219,Cairo International Airport
HRG,33.7994,27.1783,Hurghada International Airport
MAH,4.21865,39.8626,Menorca Airport (Mahon Airport)
LPA,-15.3866,27.9319,Gran Canaria Airport
MAD,-3.56264,40.4719,Adolfo Suarez Madrid-Barajas Airport
BCN,2.07846,41.2971,Barcelona El Prat Airport
EAS,-1.79061,43.3565,San Sebastian Airport
RJL,-2.32224,42.461,Logrono-Agoncilo
ALC,-0.558156,38.2822,Alicante-Elche Airport
BJZ,-6.82133,38.8913,Badajoz Airport (Talavera la Real Air Base)
GRX,-3.77736,37.1887,Federico Garcia Lorca Airport (Granada Jaen Airport)
FUE,-13.8638,28.4527,Fuerteventura Airport
ACE,-13.6052,28.9455,Lanzarote Airport
SCQ,-8.41514,42.8963,Santiago de Compostela Airport
XRY,-6.06011,36.7446,Jerez Airport (La Parra Airport)
IBZ,1.37312,38.8729,Ibiza Airport
VGO,-8.62677,42.2318,Vigo-Peinador Airport
SVQ,-5.89311,37.418,Seville Airport
SPC,-17.7556,28.6265,La Palma Airport
PNA,-1.64633,42.77,Pamplona Airport
VLL,-4.85194,41.7061,Valladolid Airport
PMI,2.73881,39.5517,Palma de Mallorca Airport
REU,1.16717,41.1474,Reus Airport
GRO,2.76055,41.901,Girona-Costa Brava Airport
VLC,-0.481625,39.4893,Valencia Airport
LEN,-5.65556,42.589,Leon Airport
LEI,-2.3701,36.8439,Almeria Airport
MJV,-0.812389,37.775,Murcia-San Javier Airport
SLM,-5.50199,40.9521,Salamanca Airport
RGS,-3.62076,42.3576,Burgos Airport
LCG,-8.37726,43.3021,A Coruna Airport
AGP,-4.49911,36.6749,Malaga Airport
OVD,-6.03462,43.5636,Asturias Airport (Oviedo Airport)
BIO,-2.91061,43.3011,Bilbao Airport
MLN,-2.95626,35.2798,Melilla Airport
SDR,-3.82001,43.4271,Santander Airport
ZAZ,-1.04155,41.6662,Zaragoza Airport
ADD,38.7994,8.97778,Addis Ababa Bole International Airport
HEL,24.9633,60.3172,Helsinki Airport (Helsinki-Vantaa Airport)
TMP,23.6044,61.4141,Tampere-Pirkkala Airport
LRH,-1.19528,46.1792,La Rochelle - Ile de Re Airport
MPL,3.96301,43.5762,Montpellier-Mediterranee Airport (Frejorgues Airport)
LDE,-0.006439,43.1787,Tarbes-Lourdes-Pyrenees Airport
CLY,8.79306,42.5244,Calvi - Sainte-Catherine Airport
CFE,3.16917,45.7867,Clermont-Ferrand Auvergne Airport
NCE,7.21587,43.6584,Nice Cote d'Azur Airport
DNR,-2.07996,48.5877,Dinard-Pleurtuit-Saint-Malo Airport
RDZ,2.48267,44.4079,Rodez-Marcillac Airport
TUF,0.727606,47.4322,Tours Val de Loire Airport
LIL,3.08689,50.5633,Lille Airport (Lille-Lesquin Airport)
LIG,1.17944,45.8628,Limoges - Bellegarde Airport
LYS,5.08111,45.7256,Lyon-Saint-Exupery Airport
BOD,-0.715556,44.8283,Bordeaux-Merignac Airport
BES,-4.41854,48.4479,Brest Bretagne Airport
AJA,8.80292,41.9236,Ajaccio Napoleon Bonaparte Airport
MRS,5.22142,43.4393,Marseille Provence Airport
EGC,0.518611,44.8253,Bergerac Dordogne Perigord Airport
NTE,-1.61073,47.1532,Nantes Atlantique Airport
BIA,9.48373,42.5527,Bastia - Poretta Airport
RNS,-1.73479,48.0695,Rennes-Saint-Jacques Airport
BIQ,-1.53111,43.4683,Biarritz Pays Basque Airport
CCF,2.30632,43.216,Carcassonne Airport
SXB,7.62823,48.5383,Strasbourg Airport
TLN,6.14603,43.0973,Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport)
TLS,1.36382,43.6291,Toulouse-Blagnac Airport
PGF,2.87067,42.7404,Perpignan-Rivesaltes Airport
BVE,1.48556,45.0397,Brive-Souillac Airport
PIS,0.306666,46.5877,Poitiers-Biard Airport
PUF,-0.418611,43.38,Pau Pyrenees Airport
CDG,2.54778,49.0097,Paris Charles de Gaulle Airport
LBV,9.41222,0.458611,Léon-Mba International Airport
MME,-1.42941,54.5092,Teesside International Airport
BHD,-5.8725,54.6181,George Best Belfast City Airport
NWI,1.28278,52.6758,Norwich International Airport
HUY,-0.350833,53.5744,Humberside Airport
BFS,-6.21583,54.6575,Belfast International Airport
ABZ,-2.19778,57.2019,Aberdeen Airport
LBA,-1.66057,53.8659,Leeds Bradford Airport
NQY,-4.99541,50.4406,Cornwall Airport Newquay
LDY,-7.16111,55.0428,City of Derry Airport
EXT,-3.41389,50.7344,Exeter International Airport
DND,-3.02583,56.4525,Dundee Airport
NCL,-1.69167,55.0375,Newcastle Airport
LPL,-2.84972,53.3336,Liverpool John Lennon Airport
MAN,-2.27495,53.3537,Manchester Airport
GLA,-4.43306,55.8719,Glasgow Airport
EMA,-1.32806,52.8311,East Midlands Airport
BRS,-2.71909,51.3827,Bristol Airport
SOU,-1.3568,50.9503,Southampton Airport
CWL,-3.34333,51.3967,Cardiff Airport
INV,-4.0475,57.5425,Inverness Airport
PIK,-4.58667,55.5094,Glasgow Prestwick Airport
EDI,-3.3725,55.95,Edinburgh Airport
BHX,-1.74803,52.4539,Birmingham Airport
GCI,-2.60194,49.4347,Guernsey Airport
IOM,-4.62333,54.0833,Isle of Man Airport
LCY,0.055278,51.5053,London City Airport
LHR,-0.461389,51.4775,Heathrow Airport
LGW,-0.190278,51.1481,Gatwick Airport
LTN,-0.368333,51.8747,London Luton Airport
STN,0.235,51.885,London Stansted Airport
SEN,0.693333,51.5703,London Southend Airport
GND,-61.7862,12.0042,Maurice Bishop International Airport
BUS,41.5997,41.6103,Batumi International Airport (Alexander Kartveli Batumi Int'l Airport)
TBS,44.9547,41.6692,Tbilisi International Airport
ACC,-0.166786,5.60519,Kotoka International Airport
GIB,-5.34966,36.1512,Gibraltar International Airport (North Front Airport)
BJL,-16.6522,13.338,Banjul International Airport
CKY,-13.612,9.57689,Conakry International Airport (Gbessia Int'l Airport)
PTP,-61.5318,16.2653,Pointe-a-Pitre International Airport (Le Raizet Airport)
SSG,8.70872,3.75527,Malabo International Airport (Saint Isabel Airport)
ATH,23.9445,37.9364,Athens International Airport (Eleftherios Venizelos Airport)
KVA,24.6192,40.9133,Kavala International Airport (Alexander the Great Airport)
JKH,26.1406,38.3432,Chios Island National Airport
KIT,23.017,36.2743,Kithira Island National Airport
JTR,25.4793,36.3992,Santorini (Thira) National Airport
RHO,28.0862,36.4054,Rhodes International Airport
PVK,20.7653,38.9255,Aktion National Airport
JMK,25.3481,37.4351,Mykonos Island National Airport
SMI,26.9117,37.69,Samos International Airport
HER,25.1803,35.3397,Heraklion International Airport (Nikos Kazantzakis Airport)
EFL,20.5005,38.1201,Kefalonia International Airport
SKG,22.9709,40.5197,Thessaloniki Airport
KLX,22.0255,37.0683,Kalamata International Airport
ZTH,20.8843,37.7509,Zakynthos International Airport (Dionysios SolomosAirport)
CHQ,24.1497,35.5317,Chania International Airport
CFU,19.9117,39.6019,Corfu International Airport (Ioannis Kapodistrias Int'l Airport)
AOK,27.146,35.4214,Karpathos Island National Airport
MJT,26.5983,39.0567,Mytilene International Airport
KGS,27.0917,36.7933,Kos Island International Airport
GPA,21.4256,38.1511,Araxos Airport
GUA,-90.5275,14.5833,La Aurora International Airport
GEO,-58.2541,6.49855,Cheddi Jagan International Airport
MFM,113.592,22.1496,Macau International Airport
HKG,113.915,22.3089,Hong Kong International Airport (Chek Lap Kok Airport)
SAP,-87.9236,15.4526,Ramon Villeda Morales International Airport
TGU,-87.2172,14.0609,Toncontin International Airport
RTB,-86.523,16.3168,Juan Manuel Galvez International Airport
ZAG,16.0688,45.7429,Zagreb Airport
ZAD,15.3467,44.1083,Zadar Airport
SPU,16.298,43.5389,Split Airport
RJK,14.5703,45.2169,Rijeka Airport
OSI,18.8102,45.4627,Osijek Airport
PUY,13.9222,44.8935,Pula Airport
DBV,18.2682,42.5614,Dubrovnik Airport
PAP,-72.2925,18.58,Toussaint L'Ouverture International Airport
BUD,19.2611,47.4298,Budapest Ferenc Liszt International Airport
DPS,115.167,-8.74817,Ngurah Rai International Airport
CGK,106.656,-6.12556,Soekarno–Hatta International Airport
NOC,-8.81849,53.9103,Ireland West Airport Knock
KIR,-9.52378,52.1809,Kerry Airport (Farranfore Airport)
SNN,-8.92482,52.702,Shannon Airport
DUB,-6.27007,53.4213,Dublin Airport
ORK,-8.49111,51.8413,Cork Airport
TLV,34.8867,32.0114,Ben Gurion Airport
TRV,76.9201,8.48212,Trivandrum International Airport
GOI,73.8314,15.3808,Goa International Airport (Dabolim Airport)
FWA,-85.1951,40.9785,Fort Wayne International Airport
CCJ,75.9553,11.1368,Calicut International Airport
IND,-86.2944,39.7173,Indianapolis International Airport
BOM,72.8679,19.0887,Chhatrapati Shivaji International Airport
SBN,-86.3173,41.7087,South Bend International Airport
DEL,77.1031,28.5665,Indira Gandhi International Airport
CCU,88.4467,22.6547,Netaji Subhas Chandra Bose International Airport
BLR,77.7063,13.1979,Kempegowda International Airport
HYD,78.4299,17.2313,Rajiv Gandhi International Airport
MAA,80.1693,12.99,Chennai International Airport
LKO,80.8893,26.7606,Chaudhary Charan Singh International Airport
IXE,74.8901,12.9613,Mangalore Airport
AMD,72.6347,23.0772,Sardar Vallabhbhai Patel International Airport
PNQ,73.9197,18.5821,Pune Airport
EVV,-87.5324,38.037,Evansville Regional Airport
COK,76.4019,10.152,Cochin International Airport (Nedumbassery Airport)
NJF,44.4043,31.9899,Al Najaf International Airport
BGW,44.2346,33.2625,Baghdad International Airport
OSM,43.1474,36.3058,Mosul International Airport
BSR,47.6621,30.5491,Basra International Airport
EBL,43.9632,36.2376,Erbil International Airport
ISU,45.3167,35.5617,Sulaimaniyah International Airport
KIH,53.9802,26.5262,Kish International Airport
TBZ,46.235,38.1339,Tabriz International Airport
MHD,59.641,36.2352,Mashhad International Airport (Shahid Hashemi Nejad Airport)
BND,56.3778,27.2183,Bandar Abbas International Airport
IKA,51.1522,35.4161,Imam Khomeini International Airport
ZAH,60.9062,29.4757,Zahedan Airport
IFN,51.8613,32.7508,Isfahan International Airport (Shahid Beheshti Int'l)
LRR,54.3833,27.6747,Larestan International Airport
TIA,19.7206,41.4147,Tirana International Airport
BDH,54.8248,26.532,Bandar Lengeh Airport
LFM,53.1888,27.3727,Lamerd Airport
ZBR,60.3821,25.4433,Konarak Airport
GSM,55.9024,26.7546,Dayrestan Airport (Qeshm International Airport)
AWZ,48.762,31.3374,Ahvaz International Airport
SYZ,52.5898,29.5392,Shiraz International Airport (Shahid Dastghaib Int'l)
BUZ,50.8346,28.9448,Bushehr Airport
KSH,47.1581,34.3459,Shahid Ashrafi Esfahani Airport (Kermanshah Airport)
KEF,-22.6056,63.985,Keflavík International Airport
FCO,12.2389,41.8003,Rome–Fiumicino International Airport
TRN,7.64963,45.2008,Turin Airport (Caselle Airport)
TSF,12.1944,45.6484,Treviso-Sant'Angelo Airport
VCE,12.3519,45.5053,Venice Marco Polo Airport
BLQ,11.2887,44.5354,Bologna Guglielmo Marconi Airport
VRN,10.8885,45.3957,Verona Villafranca Airport
MXP,8.72811,45.6306,Milan-Malpensa Airport
BDS,17.947,40.6576,Brindisi - Salento Airport
PMO,13.091,38.176,Falcone-Borsellino Airport (Punta Raisi Airport)
BZO,11.3264,46.4602,Bolzano Airport
CAG,9.05428,39.2515,Cagliari Elmas Airport
EBA,10.2394,42.7603,Marina di Campo Airport
TRS,13.4722,45.8275,Trieste - Friuli Venezia Giulia Airport
PSA,10.3927,43.6839,Pisa International Airport (Galileo Galilei Airport)
NAP,14.2908,40.886,Naples International Airport
CIY,14.6072,36.9946,Comiso Airport
AOI,13.3623,43.6163,Ancona Falconara Airport
PSR,14.1811,42.4317,Abruzzo Airport
SUF,16.2423,38.9054,Lamezia Terme International Airport
GOA,8.8375,44.4133,Genoa Cristoforo Colombo Airport
REG,15.6516,38.0712,Reggio di Calabria Airport
OLB,9.51763,40.8987,Olbia Costa Smeralda Airport
PEG,12.5132,43.0959,Perugia San Francesco d'Assisi - Umbria International Airport
RMI,12.6117,44.0203,Federico Fellini International Airport
FLR,11.2051,43.81,Florence Airport
CTA,15.0664,37.4668,Catania-Fontanarossa Airport
BRI,16.7606,41.1389,Bari Karol Wojtyla Airport
AHO,8.29077,40.6321,Alghero-Fertilia Airport
JER,-2.19528,49.2081,Jersey Airport
MBJ,-77.9134,18.5037,Sangster International Airport
KIN,-76.7875,17.9357,Norman Manley International Airport
AMM,35.9932,31.7226,Queen Alia International Airport
AQJ,35.0181,29.6116,King Hussein International Airport
TAK,134.016,34.2142,Takamatsu Airport
TOY,137.188,36.6483,Toyama Airport
KMQ,136.407,36.3946,Komatsu Airport (Kanazawa Airport)
FUK,130.451,33.5859,Fukuoka Airport (Itazuke Air Base)
FSZ,138.188,34.796,Shizuoka Airport (Mt. Fuji Shizuoka Airport)
KIJ,139.121,37.9559,Niigata Airport
IBR,140.415,36.1811,Ibaraki Airport
NGS,129.914,32.9169,Nagasaki Airport
NGO,136.805,34.8584,Chubu Centrair International Airport
KOJ,130.719,31.8034,Kagoshima Airport
SDJ,140.917,38.1397,Sendai Airport
